;Total_vu;Alquiler_mes_vc_m2;Alquiler_mes_vu_m2;Comunidad_autonoma;Turistas;Porcentaje_vc_alquiler;Porcentaje_vu_alquiler
Archena;66.0;3.4723823800738;2.67857142857143;15.0;7330;3.8535878231456873;0.7972940323749698
Archidona;29.0;3.37668439082737;2.5974025974026;0.0;10691;1.3041453190498369;0.6753609687936656
Arcos de la Frontera;147.0;3.57142857142857;3.63636363636364;0.0;36862;1.3734177215189871;0.930379746835443
Ardales;18.0;5.801511378442833;3.2089890284911;0.0;4065;0.2129169623846699;1.27750177430802
Arenas de San Pedro;52.0;3.70481927710843;3.10570987654321;6.0;12846;3.497285212392207;0.830405621207282
Arenys de Mar;142.0;7.36842105263158;5.57424333233443;8.0;29683;13.98730525100981;1.6387766878245815
Arenys de Munt;134.0;7.30337078651685;5.86035057155083;8.0;13881;12.332112332112333;3.272283272283272
Ares;41.0;4.60526315789474;3.10760777714644;12.0;2614;4.4256490952006295;0.8064516129032258
Argamasilla de Alba;31.0;3.55029628134812;2.46268656716418;7.0;4502;0.948340404292488;0.7736461192912403
Argamasilla de Calatrava;27.0;3.3640172466536;3.31858407079646;7.0;13795;1.0394374808926934;0.8254356465912565
Arganda del Rey;319.0;7.08806818181818;5.92105263157895;13.0;82423;14.326604398915336;1.6018881189113188
Argentona;209.0;7.94578313253012;6.76305220883534;8.0;20519;8.272727272727273;3.8
Argés;101.0;3.87179487179487;4.34782608695652;7.0;1283;3.931987247608927;3.577754162238753
Arico;204.0;7.89473684210526;6.54382415591655;4.0;84342;2.1746347941567064;3.3864541832669324
Arjona;3.0;2.84409029924898;2.527683457804128;0.0;1692;0.7313829787234043;0.0997340425531914
Arjonilla;1.0;3.146629172627617;2.527683457804128;0.0;193;0.3887269193391642;0.0485908649173955
Armilla;332.0;5.55555555555556;4.59928915386379;0.0;13172;13.122386925123529;3.1546940326871917
Arnedo;28.0;4.21336011808418;2.74269748480394;16.0;11047;5.951557093425605;0.3229527104959631
Arnuero;17.0;4.65193704600484;3.71287128712871;5.0;7751;0.5828779599271403;0.6193078324225865
Aroche;17.0;4.313293184460584;2.65957446808511;0.0;14380;0.0535905680600214;0.9110396570203644
Arona;688.0;7.80487804878049;7.34665661136249;4.0;1617202;9.374079027906872;1.559701661717032
Arrecife;783.0;6.19533895990386;4.4468085106383;4.0;156449;14.03061224489796;3.2216919025674784
Arriate;35.0;2.94631325584126;3.06748466257669;0.0;2906;0.8837209302325582;1.627906976744186
Arroyo de San Serván;10.0;2.63775971093044;1.8216687323225;11.0;525;0.5724098454493417;0.5724098454493417
Arroyo de la Encomienda;179.0;6.33494997559785;5.23963557018719;6.0;36012;12.388699571287235;1.967681653292294
Arroyo de la Luz;12.0;2.62212643678161;2.63888888888889;11.0;1269;0.454059829059829;0.3205128205128205
Arroyo del Ojanco;5.0;3.146629172627617;2.527683457804128;0.0;792;0.2491694352159468;0.4152823920265781
Arroyomolinos;2.0;2.940886175242486;2.4188792491930404;11.0;41005;0.0;0.0211662609799978
Arroyomolinos;227.0;8.33333333333333;7.05601123595506;13.0;41005;9.747063181289024;2.40237062122976
Arteixo;214.0;4.41018342820999;3.45421638998487;12.0;35317;12.042828368493586;1.1343157002014206
Artesa de Segre;43.0;3.16014394961763;2.90697674418605;8.0;9517;5.182186234817814;1.7408906882591093
Artà;254.0;5.10576493371071;3.61423992673993;3.0;213375;3.0054644808743167;5.783242258652095
Artés;85.0;4.8458482610709;3.97727272727273;8.0;1452;7.422347720855184;3.4288019362646227
Arucas;268.0;5.55555555555556;3.98089501573108;4.0;22464;6.479702137881335;1.609416286331972
Arzúa;41.0;3.22617946345976;2.28758169934641;12.0;7633;3.4918076819769004;1.1012624227773302
Arévalo;37.0;3.57142857142857;4.35977066411849;6.0;5357;5.340101522842639;0.751269035532995
Aspe;97.0;3.54767723732316;3.42857142857143;10.0;30031;2.2753792298716453;0.943212757681836
Astillero, El;77.0;5.88235294117647;4.76190476190476;5.0;7333;9.468147282291058;0.9000584453535944
Astorga;47.0;3.32305624197551;3.27868852459016;6.0;4459;5.291447682752031;0.5613951266125179
Atarfe;129.0;4.41176470588235;3.57142857142857;0.0;12287;6.603881934076031;1.4815665556448834
Ateca;11.0;3.67647058823529;2.92775856018449;1.0;3569;1.7319277108433735;0.8283132530120482
Autol;24.0;3.50247261886483;3.12011196619116;16.0;2243;7.286314806165343;1.120971508640822
Avilés;135.0;5.43478260869565;3.94594594594595;2.0;50897;8.222666909223213;0.3069856285246498
Avinyó;49.0;4.45555911680912;2.80202702702703;8.0;8444;3.617571059431525;4.220499569336779
Avià;45.0;4.23681211331814;1.72520357039703;8.0;2806;6.661115736885928;3.746877601998335
Avión;3.0;3.0485302148776534;2.918654998896532;12.0;1666;0.0;0.1393404551788202
Ayamonte;113.0;4.33070866141732;3.82513661202186;0.0;321901;2.304761904761905;0.7174603174603175
Ayora;17.0;2.73203592814371;2.3121387283237;10.0;11148;2.478351746790086;0.5076142131979695
Aznalcázar;95.0;4.73737707087944;3.59848484848485;0.0;5987;0.6230529595015576;5.919003115264798
Aznalcóllar;27.0;4.939061551348131;3.22666195190948;0.0;2217;0.1837559720690922;0.9922822491730982
Azuaga;58.0;2.64150943396226;2.43301066817796;11.0;5615;1.559900166389351;1.2063227953410982
Azuqueca de Henares;167.0;6.66666666666667;5.0;7.0;71718;24.42429737080689;1.514052583862194
Aínsa-Sobrarbe;33.0;5.01925192519252;2.54237288135593;1.0;33346;11.814671814671817;2.548262548262548
Añover de Tajo;60.0;3.24324324324324;3.29308849045691;7.0;1810;1.2570965125709652;2.4330900243309004
Badajoz;531.0;5.1220326083131;3.60655737704918;11.0;584498;9.446916886560857;0.6970973967153716
Badalona;766.0;9.16666666666667;5.17082228116711;8.0;197134;10.948782182177968;0.8062648674820537
Badia del Vallès;2.0;6.35384615384615;5.085944568744321;8.0;30;0.7219580912132417;0.0352174678640605
Baena;23.0;3.19148936170213;1.86320754716981;0.0;15667;1.1538461538461535;0.2268244575936883
Baeza;50.0;3.38868697803897;2.81612274896273;0.0;12270;2.459016393442623;0.5538325210456359
Bagà;24.0;4.29411764705882;2.47800522648084;8.0;14564;5.78691184424013;1.2979989183342346
Bailén;18.0;3.17994606973995;2.30615533354818;0.0;18587;1.6297183942480526;0.2156980227681246
Baiona;115.0;6.43398268398268;5.17241379310345;12.0;35246;6.280031288412113;1.2850597832160018
Balaguer;56.0;3.9546323743136;4.10326390830305;8.0;8612;11.347181008902076;0.6646884272997032
Balazote;11.0;2.9711318597561;2.5;7.0;949;1.4434643143544508;0.8821170809943866
Balenyà;83.0;5.78947368421053;3.60824742268041;8.0;2897;10.935672514619885;4.853801169590644
Balsareny;36.0;4.93333333333333;3.85251798561151;8.0;4341;5.171475231355471;1.95971692977681
Banyeres de Mariola;12.0;2.54666170265575;2.621336996337;10.0;1035;2.1138601969733366;0.2882536632236368
Banyeres del Penedès;86.0;4.54545454545455;4.63831018518519;8.0;42882;2.6875;5.375
Banyoles;337.0;5.7142228708649;4.62025316455696;8.0;20094;13.194444444444445;3.6004273504273505
Baralla;12.0;2.27272727272727;2.25645098488319;12.0;1265;0.9322560596643878;0.7458048477315102
Barbadás;47.0;4.3010752688172;3.79622777366642;12.0;5242;10.57202189918822;0.8872946951104399
Barbastro;40.0;4.65518847400532;3.36476859496675;1.0;18823;10.24480559555647;0.4114379757251594
Barbate;68.0;5.13057150669948;3.49489795918367;0.0;57275;1.019383736195845;0.525137076222102
Barberà del Vallès;79.0;8.22682727643936;5.68627450980392;8.0;38420;6.737447114233256;0.6306378223038237
Barcarrota;8.0;2.962972945965435;2.3957267070095725;11.0;2005;0.1898433792121499;0.3796867584242999
Barcelona;2227.0;12.1212121212121;9.78260869565217;8.0;8996893;15.283892645094474;0.2620909609805756
Barco de Valdeorras, O;29.0;3.50877192982456;3.37252956738251;12.0;10161;6.985024609906796;0.3036967221698607
Barco de Ávila, El;24.0;3.82441567392341;2.58439649056904;6.0;362;2.871174914998111;0.9066868152625612
Bareyo;28.0;4.95923913043478;3.53430835872049;5.0;5594;2.574102964118565;2.18408736349454
Bargas;156.0;5.52631578947368;4.22674710910005;7.0;3126;6.785519374204111;2.8379115881389847
Barlovento;10.0;6.082153700825445;2.02449140825597;4.0;3315;0.4098360655737705;0.819672131147541
Barraco, El;20.0;2.80913978494624;4.59961227520211;6.0;4682;0.8888888888888888;0.8080808080808081
Barrax;19.0;3.027839300212005;2.03252032520325;7.0;1399;0.3933136676499508;1.8682399213372665
Barreiros;44.0;4.3602494803354;2.41201287744996;12.0;6200;0.8864499788940481;0.9286618826509077
Barrios, Los;255.0;5.40540540540541;5.04701327433628;0.0;75757;1.913536498936924;2.5817555938037864
Barro;17.0;3.68932038834951;3.39029820793196;12.0;3633;1.0638297872340423;1.0638297872340423
Batea;5.0;4.928276361968281;4.13879946689426;8.0;3322;0.1692047377326565;0.4230118443316413
Baza;140.0;3.1843588869792;2.52148561702764;0.0;25018;2.74667599720084;1.224632610216935
Baña, A;11.0;3.66003568353889;2.17391304347826;12.0;3171;0.1007556675062972;0.5541561712846348
Bañeza, La;24.0;3.4020618556701;3.22281560599318;6.0;439;4.749103942652329;0.3072196620583717
Baños de la Encina;4.0;3.146629172627617;2.527683457804128;0.0;3467;0.057012542759407;0.2280501710376282
Beas;18.0;3.37078651685393;2.73812888637648;0.0;690;0.6740681998413958;0.7137192704203014
Beas de Segura;5.0;2.94444444444444;2.527683457804128;0.0;1562;0.7238605898123325;0.1340482573726541
Becerreá;6.0;2.11983646317442;2.2057685839005488;12.0;1140;1.6227180527383367;0.2434077079107505
Becerril de la Sierra;211.0;6.25;6.15384615384615;13.0;1632;5.463008329250368;5.169034786869182
Bedmar y Garcíez;1.0;3.146629172627617;2.527683457804128;0.0;820;0.31201248049922;0.0520020800832033
